MC	<p>7a3d_05ba</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes are consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze and must continually be replaced.	Incorrect	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s tend to decrease <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct	Kinetics depends only on the concentration of reactants.	Incorrect
MC	<p>9548_c2c8</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The <strong><span style="color: #bb5d00;">thermodynamics</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect	Enzymes increase or decrease the rate of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system always decreases.	Incorrect	Kinetics determines the direction of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect
MC	<p>f498_87b6</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong>?</p>	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Enzymes change the standard Gibbs free energy change (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics is only determined by the <strong><span style="color: #0078a3;">enthalpy</span></strong> change of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>essential for most biochemical <strong><span style="color: #008a75;">reaction</span></strong>s.	Incorrect	A <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Correct
MC	<p>a79d_367a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	In general, more disorder means less <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong>.	Correct	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	Enzymes increase or decrease the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect
MC	<p>2302_bd10</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect	Enzymes alter the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong> by lowering the activation energy.	Incorrect	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	The third law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a system is conserved.	Correct
MC	<p>a79d_a2e4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The second law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a closed system always decreases.	Correct	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect	Enzymes change the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect
MC	<p>9a90_2056</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The activation energy of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the concentration of reactants.	Correct	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>a79d_1d2a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) is related to the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Enzymes lower the activation energy, which affects the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong>.	Incorrect	Kinetics depends only on the ratio of product and substrates.	Correct
MC	<p>a79d_7597</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze.	Incorrect	The <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the activation energy.	Correct	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>723c_e6da</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	The rate of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect	Dehydration <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of the products.	Correct	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics determines the direction of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>3489_8680</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Enzymes change the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #bb5d00;">thermodynamics</span></strong>.	Incorrect	The third law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a system is conserved.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;"><strong><span style="color: #0078a3;">enthalpy</span></strong></span></strong> and <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s tend to increase <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect
MC	<p>a79d_53c0</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s tend to increase <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of the products.	Correct
MC	<p>e735_ec5f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes lower the activation energy, which affects the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong>.	Incorrect	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	Kinetics depends only on the concentration of reactants.	Correct	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect
MC	<p>999f_3cd0</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics is determined by a combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Enzymes change the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #bb5d00;">thermodynamics</span></strong>.	Incorrect
MC	<p>a79d_73d2</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	A <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> can proceed spontaneously even if the standard Gibbs free energy change (&Delta;G&deg;&prime;) is positive.	Correct	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>215c_755c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes must be regenerated after each <strong><span style="color: #008a75;">reaction</span></strong> they catalyze.	Incorrect	Thermodynamics tells us how fast <strong><span style="color: #478d1b;">equilibrium</span></strong> is approached.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics is determined by a combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> states that energy is conserved and cannot be created or destroyed.	Correct
