MC	<p>12a1_e1ba</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #0F766E; font-weight: 700;'>saliva</span> is pH <span style='font-family: monospace;'>6.9</span>. This is a difference of 0 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>saliva</span> has:</p>	0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	10^0 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	10^0 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>3d12_9495</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.9</span>. This is a difference of 11 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	10^11 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	11 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	11 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^11 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>44f2_241c</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>7.0</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.0</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	2 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	2 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct
MC	<p>bbd0_c106</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>11.0</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.0</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	7 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	7 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>4c5d_2c03</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	7 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	7 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct
MC	<p>6346_ff13</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>11.9</span>, while the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is pH <span style='font-family: monospace;'>10.9</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> has:</p>	1 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>1c7c_2dec</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>6.9</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>1.9</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	5 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	5 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>4c5d_99cd</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	7 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	7 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>ba73_f133</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is pH <span style='font-family: monospace;'>7.4</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> has:</p>	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	1 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>1f08_0a76</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>10.9</span>, while the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is pH <span style='font-family: monospace;'>8.9</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #6B7280; font-weight: 700;'>egg white</span> has:</p>	2 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	2 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect
MC	<p>5a6b_9ed2</p> <p>The pH of the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is <span style='font-family: monospace;'>3.4</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	1 times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Correct	1 times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect
MC	<p>0121_19ee</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.1</span>. This is a difference of 10 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10^10 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	10 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
MC	<p>34f4_25bb</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.5</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.5</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	6 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	6 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct
MC	<p>dee4_d77f</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.5</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	5 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	5 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>2de9_223d</p> <p>The pH of the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is <span style='font-family: monospace;'>8.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	4 times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Correct	4 times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect
MC	<p>5e7d_5915</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.0</span>, while the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is pH <span style='font-family: monospace;'>5.0</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> has:</p>	4 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	4 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>c2bd_9430</p> <p>The pH of the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is <span style='font-family: monospace;'>9.0</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.0</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Correct	5 times higher [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect	5 times lower [H+] than the <span style='color: #6B7280; font-weight: 700;'>egg white</span>.	Incorrect
MC	<p>e195_64e8</p> <p>The pH of the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is <span style='font-family: monospace;'>5.5</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.5</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Correct	4 times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	4 times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect
MC	<p>9f38_db64</p> <p>The pH of the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span> is <span style='font-family: monospace;'>7.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Correct	3 times lower [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect	3 times higher [H+] than the <span style='color: #1D4ED8; font-weight: 700;'>pure water</span>.	Incorrect
MC	<p>21fe_1a28</p> <p>The pH of the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is <span style='font-family: monospace;'>3.5</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1 times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	1 times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Correct
MC	<p>6fa6_b978</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.5</span>, while the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is pH <span style='font-family: monospace;'>5.5</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #2563EB; font-weight: 700;'>rainwater</span> has:</p>	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	2 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	2 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>d2fe_b02e</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.4</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	6 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	6 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>89dc_4d8c</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.4</span>, while the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is pH <span style='font-family: monospace;'>8.4</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> has:</p>	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	2 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct	2 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect
MC	<p>1b55_bb3d</p> <p>The pH of the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span> is <span style='font-family: monospace;'>8.5</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.5</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Correct	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	7 times higher [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect	7 times lower [H+] than the <span style='color: #0F766E; font-weight: 700;'>baking soda solution</span>.	Incorrect
MC	<p>6f0c_617d</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.5</span>, while the <span style='color: #991B1B; font-weight: 700;'>cola</span> is pH <span style='font-family: monospace;'>2.5</span>. This is a difference of 8 pH units.</p><p>The <span style='color: #991B1B; font-weight: 700;'>cola</span> has:</p>	8 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	8 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	100 million (10<sup>8</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	100 million (10<sup>8</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct
MC	<p>fcda_d494</p> <p>The pH of the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is <span style='font-family: monospace;'>11.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 7 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	10 million (10<sup>7</sup>) times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	7 times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	7 times lower [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Incorrect	10 million (10<sup>7</sup>) times higher [H+] than the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span>.	Correct
MC	<p>8328_7065</p> <p>The pH of the <span style='color: #EA580C; font-weight: 700;'>orange juice</span> is <span style='font-family: monospace;'>3.3</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.3</span>. This is a difference of 2 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	2 times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	2 times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect	100 (10<sup>2</sup>) times higher [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Correct	100 (10<sup>2</sup>) times lower [H+] than the <span style='color: #EA580C; font-weight: 700;'>orange juice</span>.	Incorrect
MC	<p>ef47_3ee4</p> <p>The pH of the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span> is <span style='font-family: monospace;'>5.0</span>, while the <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> is pH <span style='font-family: monospace;'>2.0</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #C2410C; font-weight: 700;'>lemon juice</span> has:</p>	3 times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Correct	3 times higher [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #3F3F46; font-weight: 700;'>black coffee</span>.	Incorrect
MC	<p>37f4_8533</p> <p>The pH of the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span> is <span style='font-family: monospace;'>10.4</span>, while the <span style='color: #9A3412; font-weight: 700;'>vinegar</span> is pH <span style='font-family: monospace;'>2.4</span>. This is a difference of 8 pH units.</p><p>The <span style='color: #9A3412; font-weight: 700;'>vinegar</span> has:</p>	100 million (10<sup>8</sup>) times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	8 times lower [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect	100 million (10<sup>8</sup>) times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Correct	8 times higher [H+] than the <span style='color: #64748B; font-weight: 700;'>milk of magnesia</span>.	Incorrect
MC	<p>5ef2_c499</p> <p>The pH of the <span style='color: #2563EB; font-weight: 700;'>rainwater</span> is <span style='font-family: monospace;'>5.7</span>, while the <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> is pH <span style='font-family: monospace;'>0.7</span>. This is a difference of 5 pH units.</p><p>The <span style='color: #7F1D1D; font-weight: 700;'>battery acid</span> has:</p>	5 times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	100,000 (10<sup>5</sup>) times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect	100,000 (10<sup>5</sup>) times higher [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Correct	5 times lower [H+] than the <span style='color: #2563EB; font-weight: 700;'>rainwater</span>.	Incorrect
MC	<p>da8e_39c2</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.1</span>, while the <span style='color: #6B7280; font-weight: 700;'>egg white</span> is pH <span style='font-family: monospace;'>9.1</span>. This is a difference of 3 pH units.</p><p>The <span style='color: #6B7280; font-weight: 700;'>egg white</span> has:</p>	3 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	3 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1,000 (10<sup>3</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct
MC	<p>2de9_60a8</p> <p>The pH of the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span> is <span style='font-family: monospace;'>8.1</span>, while the <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> is pH <span style='font-family: monospace;'>4.1</span>. This is a difference of 4 pH units.</p><p>The <span style='color: #B91C1C; font-weight: 700;'>tomato juice</span> has:</p>	4 times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	10,000 (10<sup>4</sup>) times higher [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Correct	10,000 (10<sup>4</sup>) times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect	4 times lower [H+] than the <span style='color: #0EA5E9; font-weight: 700;'>seawater</span>.	Incorrect
MC	<p>48cf_abc9</p> <p>The pH of the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span> is <span style='font-family: monospace;'>7.3</span>, while the <span style='color: #B45309; font-weight: 700;'>gastric juice</span> is pH <span style='font-family: monospace;'>1.3</span>. This is a difference of 6 pH units.</p><p>The <span style='color: #B45309; font-weight: 700;'>gastric juice</span> has:</p>	6 times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	1 million (10<sup>6</sup>) times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Correct	1 million (10<sup>6</sup>) times lower [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect	6 times higher [H+] than the <span style='color: #7F1D1D; font-weight: 700;'>blood sample</span>.	Incorrect
MC	<p>acf3_939d</p> <p>The pH of the <span style='color: #7C3AED; font-weight: 700;'>bleach</span> is <span style='font-family: monospace;'>12.0</span>, while the <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> is pH <span style='font-family: monospace;'>11.0</span>. This is a difference of 1 pH units.</p><p>The <span style='color: #0B7285; font-weight: 700;'>household ammonia</span> has:</p>	1 times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	1 times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect	10 (10<sup>1</sup>) times higher [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Correct	10 (10<sup>1</sup>) times lower [H+] than the <span style='color: #7C3AED; font-weight: 700;'>bleach</span>.	Incorrect
